"Type","Level","Offset","Size","Field Type","Field Name","Elt Type","Comment"
"activity_event_training_sessionst","1","0x0","0x5c","activity_event","","",""
"activity_event_type","0","0x0","0x4","enum-type","activity_event_type","",""
"activity_event_type","1","","","enum-item","TrainingSession","0",""
"activity_event_type","1","","","enum-item","CombatTraining","1",""
"activity_event_type","1","","","enum-item","SkillDemonstration","2",""
"activity_event_type","1","","","enum-item","IndividualSkillDrill","3",""
"activity_event_type","1","","","enum-item","Sparring","4",""
"activity_event_type","1","","","enum-item","RangedPractice","5",""
"adv_task","0","0x0","0x38","class-type","adv_task","",""
"adv_task","1","0x0","0x4","pointer","_vtable","vtable",""
"adv_task","1","0x4","0x4","pointer","link","quest_list_link",""
"adv_task","1","0x8","0x4","int32_t","id","",""
"adv_task","1","0xc","0x4","int32_t","quest_giver_id","",""
"adv_task","1","0x10","0x4","int32_t","","",""
"adv_task","1","0x14","0x4","int32_t","","",""
"adv_task","1","0x18","0x4","int32_t","adventurer_id","",""
"adv_task","1","0x1c","0x4","int32_t","","",""
"adv_task","1","0x20","0x8","coord2d","target_pos","",""
"adv_task","1","0x28","0x8","coord2d","giver_pos","",""
"adv_task","1","0x30","0x4","int32_t","","",""
"adv_task","1","0x34","0x4","int32_t","","",""
"adventure_movement_option","0","0x0","0x4","class-type","adventure_movement_option","",""
"adventure_movement_option","1","0x0","0x4","pointer","_vtable","vtable",""
"announcement_flags","0","0x0","0x4","bitfield-type","announcement_flags","",""
"announcement_flags","1","0x0","0x0.1","flag-bit","DO_MEGA","","BOX"
"announcement_flags","1","0x0.1","0x0.1","flag-bit","PAUSE","","P"
"announcement_flags","1","0x0.2","0x0.1","flag-bit","RECENTER","","R"
"announcement_flags","1","0x0.3","0x0.1","flag-bit","A_DISPLAY","","A_D"
"announcement_flags","1","0x0.4","0x0.1","flag-bit","D_DISPLAY","","D_D"
"announcement_flags","1","0x0.5","0x0.1","flag-bit","UNIT_COMBAT_REPORT","","UCR"
"announcement_flags","1","0x0.6","0x0.1","flag-bit","UNIT_COMBAT_REPORT_ALL_ACTIVE","","UCR_A"
"announcement_type","0","0x0","0x4","enum-type","announcement_type","",""
"announcement_type","1","","","enum-item","REACHED_PEAK","0",""
"announcement_type","1","","","enum-item","ERA_CHANGE","1",""
"announcement_type","1","","","enum-item","FEATURE_DISCOVERY","2",""
"announcement_type","1","","","enum-item","STRUCK_DEEP_METAL","3",""
"announcement_type","1","","","enum-item","STRUCK_MINERAL","4",""
"announcement_type","1","","","enum-item","STRUCK_ECONOMIC_MINERAL","5",""
"announcement_type","1","","","enum-item","COMBAT_TWIST_WEAPON","6",""
"announcement_type","1","","","enum-item","COMBAT_LET_ITEM_DROP","7",""
"announcement_type","1","","","enum-item","COMBAT_START_CHARGE","8",""
"announcement_type","1","","","enum-item","COMBAT_SURPRISE_CHARGE","9",""
"announcement_type","1","","","enum-item","COMBAT_JUMP_DODGE_PROJ","10",""
"announcement_type","1","","","enum-item","COMBAT_JUMP_DODGE_STRIKE","11",""
"announcement_type","1","","","enum-item","COMBAT_DODGE","12",""
"announcement_type","1","","","enum-item","COMBAT_COUNTERSTRIKE","13",""
"announcement_type","1","","","enum-item","COMBAT_BLOCK","14",""
"announcement_type","1","","","enum-item","COMBAT_PARRY","15",""
"announcement_type","1","","","enum-item","COMBAT_CHARGE_COLLISION","16",""
"announcement_type","1","","","enum-item","COMBAT_CHARGE_DEFENDER_TUMBLES","17",""
"announcement_type","1","","","enum-item","COMBAT_CHARGE_DEFENDER_KNOCKED_OVER","18",""
"announcement_type","1","","","enum-item","COMBAT_CHARGE_ATTACKER_TUMBLES","19",""
"announcement_type","1","","","enum-item","COMBAT_CHARGE_ATTACKER_BOUNCE_BACK","20",""
"announcement_type","1","","","enum-item","COMBAT_CHARGE_TANGLE_TOGETHER","21",""
"announcement_type","1","","","enum-item","COMBAT_CHARGE_TANGLE_TUMBLE","22",""
"announcement_type","1","","","enum-item","COMBAT_CHARGE_RUSH_BY","23",""
"announcement_type","1","","","enum-item","COMBAT_CHARGE_MANAGE_STOP","24",""
"announcement_type","1","","","enum-item","COMBAT_CHARGE_OBSTACLE_SLAM","25",""
"announcement_type","1","","","enum-item","COMBAT_WRESTLE_LOCK","26",""
"announcement_type","1","","","enum-item","COMBAT_WRESTLE_CHOKEHOLD","27",""
"announcement_type","1","","","enum-item","COMBAT_WRESTLE_TAKEDOWN","28",""
"announcement_type","1","","","enum-item","COMBAT_WRESTLE_THROW","29",""
"announcement_type","1","","","enum-item","COMBAT_WRESTLE_RELEASE_LOCK","30",""
"announcement_type","1","","","enum-item","COMBAT_WRESTLE_RELEASE_CHOKE","31",""
"announcement_type","1","","","enum-item","COMBAT_WRESTLE_RELEASE_GRIP","32",""
"announcement_type","1","","","enum-item","COMBAT_WRESTLE_STRUGGLE","33",""
"announcement_type","1","","","enum-item","COMBAT_WRESTLE_RELEASE_LATCH","34",""
"announcement_type","1","","","enum-item","COMBAT_WRESTLE_STRANGLE_KO","35",""
"announcement_type","1","","","enum-item","COMBAT_WRESTLE_ADJUST_GRIP","36",""
"announcement_type","1","","","enum-item","COMBAT_GRAB_TEAR","37",""
"announcement_type","1","","","enum-item","COMBAT_STRIKE_DETAILS","38",""
"announcement_type","1","","","enum-item","COMBAT_STRIKE_DETAILS_2","39",""
"announcement_type","1","","","enum-item","COMBAT_EVENT_ENRAGED","40",""
"announcement_type","1","","","enum-item","COMBAT_EVENT_STUCKIN","41",""
"announcement_type","1","","","enum-item","COMBAT_EVENT_LATCH_BP","42",""
"announcement_type","1","","","enum-item","COMBAT_EVENT_LATCH_GENERAL","43",""
"announcement_type","1","","","enum-item","COMBAT_EVENT_PROPELLED_AWAY","44",""
"announcement_type","1","","","enum-item","COMBAT_EVENT_KNOCKED_OUT","45",""
"announcement_type","1","","","enum-item","COMBAT_EVENT_STUNNED","46",""
"announcement_type","1","","","enum-item","COMBAT_EVENT_WINDED","47",""
"announcement_type","1","","","enum-item","COMBAT_EVENT_NAUSEATED","48",""
"announcement_type","1","","","enum-item","MIGRANT_ARRIVAL_NAMED","49",""
"announcement_type","1","","","enum-item","MIGRANT_ARRIVAL","50",""
"announcement_type","1","","","enum-item","DIG_CANCEL_WARM","51",""
"announcement_type","1","","","enum-item","DIG_CANCEL_DAMP","52",""
"announcement_type","1","","","enum-item","AMBUSH_DEFENDER","53",""
"announcement_type","1","","","enum-item","AMBUSH_RESIDENT","54",""
"announcement_type","1","","","enum-item","AMBUSH_THIEF","55",""
"announcement_type","1","","","enum-item","AMBUSH_THIEF_SUPPORT_SKULKING","56",""
"announcement_type","1","","","enum-item","AMBUSH_THIEF_SUPPORT_NATURE","57",""
"announcement_type","1","","","enum-item","AMBUSH_THIEF_SUPPORT","58",""
"announcement_type","1","","","enum-item","AMBUSH_MISCHIEVOUS","59",""
"announcement_type","1","","","enum-item","AMBUSH_SNATCHER","60",""
"announcement_type","1","","","enum-item","AMBUSH_SNATCHER_SUPPORT","61",""
"announcement_type","1","","","enum-item","AMBUSH_AMBUSHER_NATURE","62",""
"announcement_type","1","","","enum-item","AMBUSH_AMBUSHER","63",""
"announcement_type","1","","","enum-item","AMBUSH_INJURED","64",""
"announcement_type","1","","","enum-item","AMBUSH_OTHER","65",""
"announcement_type","1","","","enum-item","AMBUSH_INCAPACITATED","66",""
"announcement_type","1","","","enum-item","CARAVAN_ARRIVAL","67",""
"announcement_type","1","","","enum-item","NOBLE_ARRIVAL","68",""
"announcement_type","1","","","enum-item","D_MIGRANTS_ARRIVAL","69",""
"announcement_type","1","","","enum-item","D_MIGRANT_ARRIVAL","70",""
"announcement_type","1","","","enum-item","D_MIGRANT_ARRIVAL_DISCOURAGED","71",""
"announcement_type","1","","","enum-item","D_NO_MIGRANT_ARRIVAL","72",""
"announcement_type","1","","","enum-item","ANIMAL_TRAP_CATCH","73",""
"announcement_type","1","","","enum-item","ANIMAL_TRAP_ROBBED","74",""
"announcement_type","1","","","enum-item","MISCHIEF_LEVER","75",""
"announcement_type","1","","","enum-item","MISCHIEF_PLATE","76",""
"announcement_type","1","","","enum-item","MISCHIEF_CAGE","77",""
"announcement_type","1","","","enum-item","MISCHIEF_CHAIN","78",""
"announcement_type","1","","","enum-item","DIPLOMAT_ARRIVAL","79",""
"announcement_type","1","","","enum-item","LIAISON_ARRIVAL","80",""
"announcement_type","1","","","enum-item","TRADE_DIPLOMAT_ARRIVAL","81",""
"announcement_type","1","","","enum-item","CAVE_COLLAPSE","82",""
"announcement_type","1","","","enum-item","BIRTH_CITIZEN","83",""
"announcement_type","1","","","enum-item","BIRTH_ANIMAL","84",""
"announcement_type","1","","","enum-item","STRANGE_MOOD","85",""
"announcement_type","1","","","enum-item","MADE_ARTIFACT","86",""
"announcement_type","1","","","enum-item","NAMED_ARTIFACT","87",""
"announcement_type","1","","","enum-item","ITEM_ATTACHMENT","88",""
"announcement_type","1","","","enum-item","VERMIN_CAGE_ESCAPE","89",""
"announcement_type","1","","","enum-item","TRIGGER_WEB","90",""
"announcement_type","1","","","enum-item","MOOD_BUILDING_CLAIMED","91",""
"announcement_type","1","","","enum-item","ARTIFACT_BEGUN","92",""
"announcement_type","1","","","enum-item","MEGABEAST_ARRIVAL","93",""
"announcement_type","1","","","enum-item","BERSERK_CITIZEN","94",""
"announcement_type","1","","","enum-item","MAGMA_DEFACES_ENGRAVING","95",""
"announcement_type","1","","","enum-item","ENGRAVING_MELTS","96",""
"announcement_type","1","","","enum-item","MASTERPIECE_ARCHITECTURE","97",""
"announcement_type","1","","","enum-item","MASTERPIECE_CONSTRUCTION","98",""
"announcement_type","1","","","enum-item","MASTER_ARCHITECTURE_LOST","99",""
"announcement_type","1","","","enum-item","MASTER_CONSTRUCTION_LOST","100",""
"announcement_type","1","","","enum-item","ADV_AWAKEN","101",""
"announcement_type","1","","","enum-item","ADV_SLEEP_INTERRUPTED","102",""
"announcement_type","1","","","enum-item","CANCEL_JOB","103",""
"announcement_type","1","","","enum-item","ADV_CREATURE_DEATH","104",""
"announcement_type","1","","","enum-item","CITIZEN_DEATH","105",""
"announcement_type","1","","","enum-item","PET_DEATH","106",""
"announcement_type","1","","","enum-item","ENDGAME_EVENT_1","107",""
"announcement_type","1","","","enum-item","ENDGAME_EVENT_2","108",""
"announcement_type","1","","","enum-item","FALL_OVER","109",""
"announcement_type","1","","","enum-item","CAUGHT_IN_FLAMES","110",""
"announcement_type","1","","","enum-item","CAUGHT_IN_WEB","111",""
"announcement_type","1","","","enum-item","UNIT_PROJECTILE_SLAM_BLOW_APART","112",""
"announcement_type","1","","","enum-item","UNIT_PROJECTILE_SLAM","113",""
"announcement_type","1","","","enum-item","UNIT_PROJECTILE_SLAM_INTO_UNIT","114",""
"announcement_type","1","","","enum-item","VOMIT","115",""
"announcement_type","1","","","enum-item","LOSE_HOLD_OF_ITEM","116",""
"announcement_type","1","","","enum-item","REGAIN_CONSCIOUSNESS","117",""
"announcement_type","1","","","enum-item","FREE_FROM_WEB","118",""
"announcement_type","1","","","enum-item","PARALYZED","119",""
"announcement_type","1","","","enum-item","OVERCOME_PARALYSIS","120",""
"announcement_type","1","","","enum-item","NOT_STUNNED","121",""
"announcement_type","1","","","enum-item","EXHAUSTION","122",""
"announcement_type","1","","","enum-item","PAIN_KO","123",""
"announcement_type","1","","","enum-item","BREAK_GRIP","124",""
"announcement_type","1","","","enum-item","NO_BREAK_GRIP","125",""
"announcement_type","1","","","enum-item","BLOCK_FIRE","126",""
"announcement_type","1","","","enum-item","BREATHE_FIRE","127",""
"announcement_type","1","","","enum-item","SHOOT_WEB","128",""
"announcement_type","1","","","enum-item","PULL_OUT_DROP","129",""
"announcement_type","1","","","enum-item","STAND_UP","130",""
"announcement_type","1","","","enum-item","MARTIAL_TRANCE","131",""
"announcement_type","1","","","enum-item","MAT_BREATH","132",""
"announcement_type","1","","","enum-item","ADV_REACTION_PRODUCTS","133",""
"announcement_type","1","","","enum-item","NIGHT_ATTACK_STARTS","134",""
"announcement_type","1","","","enum-item","NIGHT_ATTACK_ENDS","135",""
"announcement_type","1","","","enum-item","NIGHT_ATTACK_TRAVEL","136",""
"announcement_type","1","","","enum-item","GHOST_ATTACK","137",""
"announcement_type","1","","","enum-item","LAIR_HUNTER","138",""
"announcement_type","1","","","enum-item","TRAVEL_SITE_DISCOVERY","139",""
"announcement_type","1","","","enum-item","TRAVEL_SITE_BUMP","140",""
"announcement_type","1","","","enum-item","ADVENTURE_INTRO","141",""
"announcement_type","1","","","enum-item","CREATURE_SOUND","142",""
"announcement_type","1","","","enum-item","CREATURE_STEALS_OBJECT","143",""
"announcement_type","1","","","enum-item","FOUND_TRAP","144",""
"announcement_type","1","","","enum-item","BODY_TRANSFORMATION","145",""
"announcement_type","1","","","enum-item","INTERACTION_ACTOR","146",""
"announcement_type","1","","","enum-item","INTERACTION_TARGET","147",""
"announcement_type","1","","","enum-item","UNDEAD_ATTACK","148",""
"announcement_type","1","","","enum-item","CITIZEN_MISSING","149",""
"announcement_type","1","","","enum-item","PET_MISSING","150",""
"announcement_type","1","","","enum-item","MARKET_CHATTER","151",""
"announcement_type","1","","","enum-item","STRANGE_RAIN_SNOW","152",""
"announcement_type","1","","","enum-item","STRANGE_CLOUD","153",""
"announcement_type","1","","","enum-item","SIMPLE_ANIMAL_ACTION","154",""
"announcement_type","1","","","enum-item","FLOUNDER_IN_LIQUID","155",""
"announcement_type","1","","","enum-item","TRAINING_DOWN_TO_SEMI_WILD","156",""
"announcement_type","1","","","enum-item","TRAINING_FULL_REVERSION","157",""
"announcement_type","1","","","enum-item","ANIMAL_TRAINING_KNOWLEDGE","158",""
"announcements","0","0x0","0x27c","struct-type","announcements","",""
"announcements","1","0x0","0x27c","static-array","flags","announcement_flags",""
"announcements","2","0x0","0x4","announcement_flags","flags[REACHED_PEAK]","",""
"announcements","2","0x4","0x4","announcement_flags","flags[ERA_CHANGE]","",""
"announcements","2","0x8","0x4","announcement_flags","flags[FEATURE_DISCOVERY]","",""
"announcements","2","0xc","0x4","announcement_flags","flags[STRUCK_DEEP_METAL]","",""
"announcements","2","0x10","0x4","announcement_flags","flags[STRUCK_MINERAL]","",""
"announcements","2","0x14","0x4","announcement_flags","flags[STRUCK_ECONOMIC_MINERAL]","",""
"announcements","2","0x18","0x4","announcement_flags","flags[COMBAT_TWIST_WEAPON]","",""
"announcements","2","0x1c","0x4","announcement_flags","flags[COMBAT_LET_ITEM_DROP]","",""
"announcements","2","0x20","0x4","announcement_flags","flags[COMBAT_START_CHARGE]","",""
"announcements","2","0x24","0x4","announcement_flags","flags[COMBAT_SURPRISE_CHARGE]","",""
"announcements","2","0x28","0x4","announcement_flags","flags[COMBAT_JUMP_DODGE_PROJ]","",""
"announcements","2","0x2c","0x4","announcement_flags","flags[COMBAT_JUMP_DODGE_STRIKE]","",""
"announcements","2","0x30","0x4","announcement_flags","flags[COMBAT_DODGE]","",""
"announcements","2","0x34","0x4","announcement_flags","flags[COMBAT_COUNTERSTRIKE]","",""
"announcements","2","0x38","0x4","announcement_flags","flags[COMBAT_BLOCK]","",""
"announcements","2","0x3c","0x4","announcement_flags","flags[COMBAT_PARRY]","",""
"announcements","2","0x40","0x4","announcement_flags","flags[COMBAT_CHARGE_COLLISION]","",""
"announcements","2","0x44","0x4","announcement_flags","flags[COMBAT_CHARGE_DEFENDER_TUMBLES]","",""
"announcements","2","0x48","0x4","announcement_flags","flags[COMBAT_CHARGE_DEFENDER_KNOCKED_OVER]","",""
"announcements","2","0x4c","0x4","announcement_flags","flags[COMBAT_CHARGE_ATTACKER_TUMBLES]","",""
"announcements","2","0x50","0x4","announcement_flags","flags[COMBAT_CHARGE_ATTACKER_BOUNCE_BACK]","",""
"announcements","2","0x54","0x4","announcement_flags","flags[COMBAT_CHARGE_TANGLE_TOGETHER]","",""
"announcements","2","0x58","0x4","announcement_flags","flags[COMBAT_CHARGE_TANGLE_TUMBLE]","",""
"announcements","2","0x5c","0x4","announcement_flags","flags[COMBAT_CHARGE_RUSH_BY]","",""
"announcements","2","0x60","0x4","announcement_flags","flags[COMBAT_CHARGE_MANAGE_STOP]","",""
"announcements","2","0x64","0x4","announcement_flags","flags[COMBAT_CHARGE_OBSTACLE_SLAM]","",""
"announcements","2","0x68","0x4","announcement_flags","flags[COMBAT_WRESTLE_LOCK]","",""
"announcements","2","0x6c","0x4","announcement_flags","flags[COMBAT_WRESTLE_CHOKEHOLD]","",""
"announcements","2","0x70","0x4","announcement_flags","flags[COMBAT_WRESTLE_TAKEDOWN]","",""
"announcements","2","0x74","0x4","announcement_flags","flags[COMBAT_WRESTLE_THROW]","",""
"announcements","2","0x78","0x4","announcement_flags","flags[COMBAT_WRESTLE_RELEASE_LOCK]","",""
"announcements","2","0x7c","0x4","announcement_flags","flags[COMBAT_WRESTLE_RELEASE_CHOKE]","",""
"announcements","2","0x80","0x4","announcement_flags","flags[COMBAT_WRESTLE_RELEASE_GRIP]","",""
"announcements","2","0x84","0x4","announcement_flags","flags[COMBAT_WRESTLE_STRUGGLE]","",""
"announcements","2","0x88","0x4","announcement_flags","flags[COMBAT_WRESTLE_RELEASE_LATCH]","",""
"announcements","2","0x8c","0x4","announcement_flags","flags[COMBAT_WRESTLE_STRANGLE_KO]","",""
"announcements","2","0x90","0x4","announcement_flags","flags[COMBAT_WRESTLE_ADJUST_GRIP]","",""
"announcements","2","0x94","0x4","announcement_flags","flags[COMBAT_GRAB_TEAR]","",""
"announcements","2","0x98","0x4","announcement_flags","flags[COMBAT_STRIKE_DETAILS]","",""
"announcements","2","0x9c","0x4","announcement_flags","flags[COMBAT_STRIKE_DETAILS_2]","",""
"announcements","2","0xa0","0x4","announcement_flags","flags[COMBAT_EVENT_ENRAGED]","",""
"announcements","2","0xa4","0x4","announcement_flags","flags[COMBAT_EVENT_STUCKIN]","",""
"announcements","2","0xa8","0x4","announcement_flags","flags[COMBAT_EVENT_LATCH_BP]","",""
"announcements","2","0xac","0x4","announcement_flags","flags[COMBAT_EVENT_LATCH_GENERAL]","",""
"announcements","2","0xb0","0x4","announcement_flags","flags[COMBAT_EVENT_PROPELLED_AWAY]","",""
"announcements","2","0xb4","0x4","announcement_flags","flags[COMBAT_EVENT_KNOCKED_OUT]","",""
"announcements","2","0xb8","0x4","announcement_flags","flags[COMBAT_EVENT_STUNNED]","",""
"announcements","2","0xbc","0x4","announcement_flags","flags[COMBAT_EVENT_WINDED]","",""
"announcements","2","0xc0","0x4","announcement_flags","flags[COMBAT_EVENT_NAUSEATED]","",""
"announcements","2","0xc4","0x4","announcement_flags","flags[MIGRANT_ARRIVAL_NAMED]","",""
"announcements","2","0xc8","0x4","announcement_flags","flags[MIGRANT_ARRIVAL]","",""
"announcements","2","0xcc","0x4","announcement_flags","flags[DIG_CANCEL_WARM]","",""
"announcements","2","0xd0","0x4","announcement_flags","flags[DIG_CANCEL_DAMP]","",""
"announcements","2","0xd4","0x4","announcement_flags","flags[AMBUSH_DEFENDER]","",""
"announcements","2","0xd8","0x4","announcement_flags","flags[AMBUSH_RESIDENT]","",""
"announcements","2","0xdc","0x4","announcement_flags","flags[AMBUSH_THIEF]","",""
"announcements","2","0xe0","0x4","announcement_flags","flags[AMBUSH_THIEF_SUPPORT_SKULKING]","",""
"announcements","2","0xe4","0x4","announcement_flags","flags[AMBUSH_THIEF_SUPPORT_NATURE]","",""
"announcements","2","0xe8","0x4","announcement_flags","flags[AMBUSH_THIEF_SUPPORT]","",""
"announcements","2","0xec","0x4","announcement_flags","flags[AMBUSH_MISCHIEVOUS]","",""
"announcements","2","0xf0","0x4","announcement_flags","flags[AMBUSH_SNATCHER]","",""
"announcements","2","0xf4","0x4","announcement_flags","flags[AMBUSH_SNATCHER_SUPPORT]","",""
"announcements","2","0xf8","0x4","announcement_flags","flags[AMBUSH_AMBUSHER_NATURE]","",""
"announcements","2","0xfc","0x4","announcement_flags","flags[AMBUSH_AMBUSHER]","",""
"announcements","2","0x100","0x4","announcement_flags","flags[AMBUSH_INJURED]","",""
"announcements","2","0x104","0x4","announcement_flags","flags[AMBUSH_OTHER]","",""
"announcements","2","0x108","0x4","announcement_flags","flags[AMBUSH_INCAPACITATED]","",""
"announcements","2","0x10c","0x4","announcement_flags","flags[CARAVAN_ARRIVAL]","",""
"announcements","2","0x110","0x4","announcement_flags","flags[NOBLE_ARRIVAL]","",""
"announcements","2","0x114","0x4","announcement_flags","flags[D_MIGRANTS_ARRIVAL]","",""
"announcements","2","0x118","0x4","announcement_flags","flags[D_MIGRANT_ARRIVAL]","",""
"announcements","2","0x11c","0x4","announcement_flags","flags[D_MIGRANT_ARRIVAL_DISCOURAGED]","",""
"announcements","2","0x120","0x4","announcement_flags","flags[D_NO_MIGRANT_ARRIVAL]","",""
"announcements","2","0x124","0x4","announcement_flags","flags[ANIMAL_TRAP_CATCH]","",""
"announcements","2","0x128","0x4","announcement_flags","flags[ANIMAL_TRAP_ROBBED]","",""
"announcements","2","0x12c","0x4","announcement_flags","flags[MISCHIEF_LEVER]","",""
"announcements","2","0x130","0x4","announcement_flags","flags[MISCHIEF_PLATE]","",""
"announcements","2","0x134","0x4","announcement_flags","flags[MISCHIEF_CAGE]","",""
"announcements","2","0x138","0x4","announcement_flags","flags[MISCHIEF_CHAIN]","",""
"announcements","2","0x13c","0x4","announcement_flags","flags[DIPLOMAT_ARRIVAL]","",""
"announcements","2","0x140","0x4","announcement_flags","flags[LIAISON_ARRIVAL]","",""
"announcements","2","0x144","0x4","announcement_flags","flags[TRADE_DIPLOMAT_ARRIVAL]","",""
"announcements","2","0x148","0x4","announcement_flags","flags[CAVE_COLLAPSE]","",""
"announcements","2","0x14c","0x4","announcement_flags","flags[BIRTH_CITIZEN]","",""
"announcements","2","0x150","0x4","announcement_flags","flags[BIRTH_ANIMAL]","",""
"announcements","2","0x154","0x4","announcement_flags","flags[STRANGE_MOOD]","",""
"announcements","2","0x158","0x4","announcement_flags","flags[MADE_ARTIFACT]","",""
"announcements","2","0x15c","0x4","announcement_flags","flags[NAMED_ARTIFACT]","",""
"announcements","2","0x160","0x4","announcement_flags","flags[ITEM_ATTACHMENT]","",""
"announcements","2","0x164","0x4","announcement_flags","flags[VERMIN_CAGE_ESCAPE]","",""
"announcements","2","0x168","0x4","announcement_flags","flags[TRIGGER_WEB]","",""
"announcements","2","0x16c","0x4","announcement_flags","flags[MOOD_BUILDING_CLAIMED]","",""
"announcements","2","0x170","0x4","announcement_flags","flags[ARTIFACT_BEGUN]","",""
"announcements","2","0x174","0x4","announcement_flags","flags[MEGABEAST_ARRIVAL]","",""
"announcements","2","0x178","0x4","announcement_flags","flags[BERSERK_CITIZEN]","",""
"announcements","2","0x17c","0x4","announcement_flags","flags[MAGMA_DEFACES_ENGRAVING]","",""
"announcements","2","0x180","0x4","announcement_flags","flags[ENGRAVING_MELTS]","",""
"announcements","2","0x184","0x4","announcement_flags","flags[MASTERPIECE_ARCHITECTURE]","",""
"announcements","2","0x188","0x4","announcement_flags","flags[MASTERPIECE_CONSTRUCTION]","",""
"announcements","2","0x18c","0x4","announcement_flags","flags[MASTER_ARCHITECTURE_LOST]","",""
"announcements","2","0x190","0x4","announcement_flags","flags[MASTER_CONSTRUCTION_LOST]","",""
"announcements","2","0x194","0x4","announcement_flags","flags[ADV_AWAKEN]","",""
"announcements","2","0x198","0x4","announcement_flags","flags[ADV_SLEEP_INTERRUPTED]","",""
"announcements","2","0x19c","0x4","announcement_flags","flags[CANCEL_JOB]","",""
"announcements","2","0x1a0","0x4","announcement_flags","flags[ADV_CREATURE_DEATH]","",""
"announcements","2","0x1a4","0x4","announcement_flags","flags[CITIZEN_DEATH]","",""
"announcements","2","0x1a8","0x4","announcement_flags","flags[PET_DEATH]","",""
"announcements","2","0x1ac","0x4","announcement_flags","flags[ENDGAME_EVENT_1]","",""
"announcements","2","0x1b0","0x4","announcement_flags","flags[ENDGAME_EVENT_2]","",""
"announcements","2","0x1b4","0x4","announcement_flags","flags[FALL_OVER]","",""
"announcements","2","0x1b8","0x4","announcement_flags","flags[CAUGHT_IN_FLAMES]","",""
"announcements","2","0x1bc","0x4","announcement_flags","flags[CAUGHT_IN_WEB]","",""
"announcements","2","0x1c0","0x4","announcement_flags","flags[UNIT_PROJECTILE_SLAM_BLOW_APART]","",""
